               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092344,             0.14111,            0.021287,             0.71276,             0.20726,              0.1646,            0.051433,            0.068713,             0.23932,           0.0043632,            0.070508,           0.0032768,           0.0032768
                   1,            0.072576,             0.10891,           0.0041362,             0.62849,            0.095531,            0.060293,            0.011052,            0.082697,             0.10055,           0.0016777,            0.040345,           0.0064466,           0.0064466
                   2,              0.0766,            0.095607,           0.0032766,             0.77266,             0.41061,             0.31292,             0.16201,            0.064689,            0.089954,           0.0026883,            0.010016,           0.0094513,           0.0094513
                   3,            0.067159,            0.093763,           0.0037676,             0.60449,             0.35531,             0.11517,            0.028682,            0.066633,            0.089313,           0.0018672,           0.0092575,           0.0092575,           0.0092575
                   4,            0.057268,            0.090115,           0.0038944,               0.806,             0.37207,              0.3242,             0.14317,            0.043994,             0.10234,            0.002063,           0.0092575,           0.0092575,           0.0092575
                   5,            0.048308,            0.090977,           0.0034361,             0.82792,             0.38432,             0.48127,             0.27015,            0.037178,               0.088,           0.0020401,             0.00901,             0.00901,             0.00901
                   6,            0.044888,            0.083336,           0.0030089,             0.32567,             0.54295,              0.4324,             0.24186,            0.035633,            0.087178,           0.0019448,           0.0087625,           0.0087625,           0.0087625
                   7,            0.037232,            0.088722,           0.0027402,              0.5653,             0.69767,             0.73322,             0.35776,            0.030806,              0.0867,           0.0017497,            0.008515,            0.008515,            0.008515
                   8,            0.038626,            0.088852,           0.0024807,             0.48528,              0.7935,             0.63748,             0.31447,            0.030684,            0.084132,           0.0016995,           0.0082675,           0.0082675,           0.0082675
                   9,            0.037326,            0.082987,           0.0029541,             0.65139,             0.91798,              0.8401,             0.40416,            0.033125,            0.086955,           0.0015147,             0.00802,             0.00802,             0.00802
                  10,            0.033898,            0.079183,           0.0023348,             0.68455,             0.98268,             0.82768,             0.45665,            0.028279,            0.084336,           0.0014633,           0.0077725,           0.0077725,           0.0077725
                  11,             0.03234,            0.081082,           0.0019624,             0.78553,             0.95754,             0.89908,             0.43236,            0.028696,             0.08399,           0.0015489,            0.007525,            0.007525,            0.007525
